Abstract ID	Abstract Sentence	adaptation2	adaptation3	adaptation1	generated
25432724	In most cases, a specific cause cannot be identified, and treatments are based on symptoms.	In most cases, a specific cause cannot be found, and treatments are based on symptoms.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: In most cases, a specific cause cannot be identified, and treatments are based on symptoms.    
25432724	Treatment options include counseling, education, oral medications, botulinum toxin injections, and several surgical procedures.	Treatment includes counseling, education, oral medications, botox (used as a muscle relaxant), and surgeries.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Treatment options include counseling, education, oral medications, botulinum toxin injections, and several surgical procedures.    
25432724	A substantial reduction in symptoms and improved quality of life is achieved in most patients by combining these options.	A noticeable decrease in symptoms and improved quality of life is achieved in most patients by combining these options.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: A substantial reduction in symptoms and improved quality of life is achieved in most patients by combining these options.    
29763070	Muscle cramps result in continuous, involuntary, painful, and localized contraction of an entire muscle group, individual single muscle, or select muscle fibers.	Muscle cramps cause constant and unintended contraction of muscles, causing pain. They can occur for individual muscles, groups of muscles, or small parts of muscles.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Muscle cramps result in continuous, involuntary, painful, and localized contraction of an entire muscle group, individual single muscle, or select muscle fibers.    
29763070	Generally, the cramp can last from minutes to a few seconds for idiopathic or known causes with healthy subjects or in the presence of diseases.	A cramp usually lasts seconds or minutes, regardless of cause and how healthy you are.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Generally, the cramp can last from minutes to a few seconds for idiopathic or known causes with healthy subjects or in the presence of diseases.    
29763070	Palpating the muscle area of the cramp will present a knot.	A knot (hard area) can be felt beneath the skin where the cramp is.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Palpating the muscle area of the cramp will present a knot.    
29763070	Exercise-associated muscle cramps are the most frequent condition requiring medical/therapeutic intervention during sports.	Muscle cramps are the most common reason for seeking medical help during sports.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: Exercise-associated muscle cramps are the most frequent condition requiring medical/therapeutic intervention during sports.    
29763070	The specific etiology is not well understood and possible causes depend on the physiological or pathological situation in which the cramps appear.	We still don't know why muscle cramps happen. Causes may also depend on the person and the situation.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: The specific etiology is not well understood and possible causes depend on the physiological or pathological situation in which the cramps appear.    
29763070	It is important to note that a painful contraction that is limited to a specific area does not mean that the cause of the cramp is necessarily local.	Importantly, even though the pain of a muscle cramp can be in a specific area, the cause may lie elsewhere.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: It is important to note that a painful contraction that is limited to a specific area does not mean that the cause of the cramp is necessarily local.    
29763070	A cramp is almost never a local effect but involves the whole body system, such as somatic and emotional.	A cramp can almost never be explained just by local effects, and it involves both the whole body and your emotional state.			    **Objective**: Simplify the provided text by:    1. Rephrasing complex sentences for clarity.    2. Replacing or defining rarely-used terms.    **Guidelines**:    - For sentences that seem complex, rephrase them in simpler terms.    - If you encounter unfamiliar or rare words, either replace them with a commonly known synonym or provide a concise definition.    Note: In the training samples, complex sentences are flagged with `<rephrase>` and rare terms with `<rare>`. However, these tokens won't appear in testing samples. You'll need to recognize and address such complexities independently.    **Examples**:    1.    **Original**:    Furthermore, the circumference of thighs was measured to assess the <rare>postoperative swelling<rare>.    A total of 444 hypertensive patients, aged between 27 to 65 years, without any recent hypertensive treatment, were included.    <rephrase>The tongue often obstructs the upper respiratory tract, especially in comatose patients or those with cardiopulmonary arrest.<rephrase>    **Simplified**:    Additionally, we measured thigh sizes to check for swelling after surgery.    444 patients, aged 27-65 with high blood pressure and no recent treatment, were studied.    The tongue can block breathing, mostly seen in unconscious people or those who've had a sudden heart stoppage.    Your task: Apply these guidelines to simplify the provided texts.    Now simplify the following sentence: A cramp is almost never a local effect but involves the whole body system, such as somatic and emotional.    
